name,ba_rk,position,team
Adley Rutschman,1,C,Oregon State
Bobby Witt Jr.,2,SS,Colleyville (Texas) Heritage HS
C.J. Abrams,3,SS,"Blessed Trinity HS, Roswell, Ga."
Andrew Vaughn,4,1B,California
Riley Greene,5,OF,"Hagerty HS, Oviedo, Fla."
Shea Langeliers,6,C,Baylor
Corbin Carroll,7,OF,"Lakeside HS, Seattle"
Josh Jung,8,3B,Texas Tech
Graeme Stinson,9,LHP,Duke
Brennan Malone,10,RHP,"IMG Academy, Bradenton, Fla."
Daniel Espino,11,RHP,"Georgia Premier Academy, Statesboro, Ga."
Zack Thompson,12,LHP,Kentucky
Tyler Dyson,13,RHP,Florida
Jerrion Ealy,14,OF,Jackson (Miss.) Prep HS
Carter Stewart,15,RHP,East Florida State JC
Nick Lodolo,16,LHP,Texas Christian
Matthew Thompson,17,RHP,"Cypress Ranch HS, Houston"
Will Holland,18,SS,Auburn
Matthew Allan,19,RHP,Seminole (Fla.) HS
Will Wilson,20,SS,North Carolina State
Brett Baty,21,,"Lake Travis HS, Austin"
Alek Manoah,22,RHP,West Virginia
Tyler Callihan,23,3B/2B,"Providence HS, Jacksonville"
Rece Hinds,24,3B,"IMG Academy, Bradenton, Fla."
Ryne Nelson,25,RHP,Oregon
Spencer Jones,26,1B/LHP,"La Costa Canyon HS, Carlsbad, Calif."
Bryson Stott,27,SS,Nevada-Las Vegas
Braden Shewmake,28,SS/3B,Texas A&M
J.J. Bleday,29,OF,Vanderbilt
Maurice Hampton,30,OF,Memphis University HS
Michael Busch,31,1B/OF,North Carolina
Kameron Misner,32,OF,Missouri
Kyle Stowers,33,OF,Stanford
Logan Wyatt,34,1B,Louisville
Matt Wallner,35,OF/RHP,Southern Mississippi
George Kirby,36,RHP,Elon
Hunter Barco,37,LHP,"Bolles HS, Jacksonville"
Logan Davidson,38,SS,Clemson
Jack Leiter,39,RHP,"Delbarton HS, Morristown, N.J."
Brooks Lee,40,San Luis Obispo (Calif.) HS,SS/2B
Kendall Williams,41,RHP,"IMG Academy, Bradenton, Fla."
Nasim Nunez,42,SS,"Collins Hill HS, Suwanee, Ga."
Mason Feole,43,LHP,Connecticut
Michael Toglia,44,1B/OF,UCLA
Greg Jones,45,SS,UNC-Wilmington
J.J. Goss,46,RHP,"Cypress Ranch HS, Houston"
Kenyon Yovan,47,RHP,Oregon
Zack Hess,48,RHP,Louisiana State
Gunnar Henderson,49,SS,"Morgan Academy, Selma, Ala."
Sammy Siani,50,OF,"Penn Charter HS, Philadelphia"
Quinn Priester,51,RHP,"Cary-Grove HS, Cary, Ill."
Matt Cronin,52,LHP,Arkansas
Hayden Mullins,53,LHP,Hendersonville (Tenn.) HS
Will Rigney,54,RHP,"Midway HS, Waco, Texas"
Drew Mendoza,55,3B,Florida State
Jack Kochanowicz,56,RHP,"Harriton HS, Rosemont, Pa."
Ryan Zeferjahn,57,RHP,Kansas
Ricky DeVito,58,RHP,Seton Hall
Bryant Packard,59,OF,East Carolina
Landon Sims,60,RHP,"South Forsyth HS, Cumming, Ga."
Adam Laskey,61,LHP,Duke
Michael Limoncelli,62,RHP,Horseheads (N.Y.) High
Hylan Hall,63,OF,"TNXL Academy, Altamonte Springs, Fla."
Myles Austin,64,SS,"Westlake HS, Atlanta"
Isaiah Campbell,65,RHP,Arkansas
Erik Miller,66,LHP,Stanford
Joseph Charles,67,RHP,"The First Academy, Orlando"
Riley Cornelio,68,RHP,"Pine Creek HS, Colorado Springs"
Matt Canterino,69,RHP,Rice
Seth Johnson,70,RHP,Campbell
Emanuel Dean,71,OF,"Servite HS, Anaheim"
Dominic Fletcher,72,OF,Arkansas
Blake Sabol,73,OF/C,Southern California
Glenallen Hill Jr.,74,OF,Santa Cruz (Calif.) HS
Tyler Nesbitt,75,RHP,LaBelle (Fla.) HS
Josh Smith,76,SS,Louisiana State
Anthony Volpe,77,SS,"Delbarton HS, Morristown, N.J."
Christian Koss,78,SS,UC Irvine
David Hamilton,79,SS,Texas
Chase Strumpf,80,OF,UCLA
Jimmy Lewis,81,RHP,"Lake Travis HS, Austin"
Cameron Cannon,82,3B/2B,Arizona
Carter Young,83,SS,Selah (Wash.) HS
Trey Faltine,84,INF/OF/RHP,"Fort Bend Travis HS, Richmond, Texas"
Matthew Lugo,85,SS,"Carlos Beltran Baseball Academy, Florida, P.R."
Jonathan French,86,C,"Parkview HS, Lilburn, Ga."
Brady McConnell,87,SS,Florida
Bryce Osmond,88,RHP/SS,Jenks (Okla.) HS
Austin Bergner,89,RHP,North Carolina
Cade Doughty,90,3B,Denham Springs (La.) HS
Christian Cairo,91,SS,"Calvary Christian HS, Clearwater, Fla."
Nick Quintana,92,3B,Arizona
Mack Anglin,93,RHP,"Highland HS, Marengo, Ohio"
Davis Daniel,94,RHP,Auburn
Ethan Hearn,95,C,Mobile (Ala.) Christian HS
Kyren Paris,96,SS,"Freedom HS, Oakley, Calif."
Jackson Rutledge,97,RHP,San Jacinto (Texas) JC
Chris Newell,98,OF,Malvern (Pa.) Prep HS
Cam Shepherd,99,SS,Georgia
Spencer Brickhouse,100,1B,East Carolina
