name,mlb_rk,position
Adley Rutschman,1,C
Bobby Witt Jr.,2,SS
Andrew Vaughn,3,1B
Shea Langeliers,4,C
CJ Abrams,5,SS
Josh Jung,6,3B
Carter Stewart,7,RHP
Riley Greene,8,OF
Graeme Stinson,9,LHP
Brennan Malone,10,RHP
Kameron Misner,11,OF
Bryson Stott,12,SS
Daniel Espino,13,RHP
Corbin Carroll,14,OF
Zack Thompson,15,LHP
Nick Lodolo,16,LHP
Matthew Allan,17,RHP
Jerrion Ealy,18,OF
Spencer Jones,19,LHP/1B
Jack Leiter,20,RHP
Braden Shewmake,21,SS
Will Holland,22,SS
Rece Hinds,23,3B
J.J. Bleday,24,OF
Michael Busch,25,1B
Matt Wallner,26,OF
Maurice Hampton,27,OF
Will Wilson,28,SS
Logan Davidson,29,SS
Tyler Dyson,30,RHP
Brett Baty,31,3B
Matthew Lugo,32,SS
Tyler Callihan,33,3B
Kyle Stowers,34,OF
Ryne Nelson,35,RHP
Matthew Thompson,36,RHP
Hunter Barco,37,LHP
Alek Manoah,38,RHP
George Kirby,39,RHP
Chase Strumpf,40,2B
Brooks Lee,41,SS
Mike Toglia,42,1B/OF
Erik Miller,43,LHP
J.J. Goss,44,RHP
Logan Wyatt,45,1B
Riley Cornelio,46,RHP
Drew Mendoza,47,3B
Will Robertson,48,OF
Nasim Nunez,49,SS
Sammy Siani,50,OF
